,Albertslund,Ballerup,Brøndby,Dragør,Frederiksberg,Gentofte,Gladsaxe,Glostrup,Herlev,Hvidovre,Høje-Taastrup,Ishøj,København,Rødovre,Taarnby,Vallensbæk
2020-03-16,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0
2020-03-17,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0
2020-03-18,1.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,22.0,1.0,1.0,1.0
2020-03-19,1.0,2.0,4.0,0.0,6.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,27.0,1.0,2.0,1.0
2020-03-20,1.0,3.0,4.0,0.0,7.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,31.0,1.0,2.0,1.0
2020-03-21,1.0,3.0,5.0,1.0,8.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,36.0,1.0,2.0,1.0
2020-03-22,2.0,3.0,5.0,1.0,10.0,2.0,6.0,4.0,2.0,3.0,3.0,2.0,41.0,1.0,2.0,2.0
2020-03-23,2.0,4.0,5.0,1.0,11.0,2.0,7.0,4.0,2.0,4.0,3.0,2.0,46.0,2.0,3.0,2.0
2020-03-24,2.0,4.0,6.0,1.0,12.0,2.0,8.0,5.0,2.0,4.0,4.0,3.0,52.0,2.0,3.0,2.0
2020-03-25,2.0,5.0,7.0,1.0,14.0,3.0,9.0,5.0,3.0,5.0,4.0,3.0,59.0,2.0,4.0,2.0
2020-03-26,3.0,5.0,8.0,1.0,16.0,3.0,11.0,5.0,3.0,5.0,5.0,3.0,67.0,2.0,4.0,3.0
2020-03-27,3.0,5.0,9.0,1.0,17.0,3.0,12.0,6.0,4.0,5.0,5.0,4.0,74.0,3.0,5.0,3.0
2020-03-28,3.0,6.0,10.0,1.0,18.0,3.0,13.0,6.0,4.0,6.0,5.0,4.0,80.0,3.0,5.0,3.0
2020-03-29,3.0,6.0,10.0,1.0,19.0,4.0,14.0,7.0,4.0,6.0,5.0,4.0,83.0,3.0,5.0,3.0
2020-03-30,4.0,6.0,11.0,1.0,21.0,4.0,15.0,7.0,4.0,7.0,5.0,5.0,90.0,3.0,5.0,4.0
2020-03-31,4.0,6.0,11.0,1.0,21.0,4.0,15.0,7.0,4.0,7.0,5.0,5.0,90.0,3.0,5.0,4.0
2020-04-01,4.0,6.0,11.0,1.0,21.0,4.0,15.0,7.0,4.0,7.0,5.0,5.0,91.0,3.0,5.0,4.0
2020-04-02,3.0,7.0,8.0,1.0,23.0,3.0,9.0,6.0,2.0,9.0,3.0,5.0,81.0,3.0,2.0,3.0
2020-04-03,2.0,6.0,7.0,1.0,23.0,3.0,10.0,6.0,3.0,9.0,3.0,5.0,76.0,3.0,2.0,2.0
2020-04-04,1.0,6.0,8.0,0.0,23.0,3.0,10.0,6.0,3.0,7.0,3.0,5.0,80.0,4.0,2.0,3.0
2020-04-05,1.0,6.0,8.0,0.0,22.0,2.0,11.0,6.0,3.0,6.0,4.0,5.0,84.0,4.0,2.0,2.0
2020-04-06,1.0,5.0,8.0,1.0,20.0,2.0,11.0,3.0,2.0,7.0,6.0,5.0,79.0,3.0,3.0,3.0
2020-04-07,1.0,6.0,8.0,1.0,19.0,2.0,13.0,3.0,2.0,5.0,6.0,4.0,78.0,2.0,4.0,1.0
2020-04-08,2.0,8.0,9.0,1.0,14.0,1.0,14.0,6.0,2.0,5.0,6.0,4.0,77.0,3.0,5.0,1.0
2020-04-09,2.0,7.0,10.0,1.0,14.0,2.0,11.0,5.0,2.0,5.0,5.0,4.0,74.0,3.0,6.0,2.0
2020-04-10,2.0,6.0,9.0,1.0,14.0,3.0,12.0,6.0,2.0,5.0,4.0,4.0,76.0,2.0,6.0,3.0
2020-04-11,2.0,5.0,9.0,1.0,11.0,2.0,12.0,6.0,3.0,4.0,3.0,4.0,72.0,3.0,6.0,4.0
2020-04-12,3.0,3.0,9.0,1.0,11.0,2.0,12.0,7.0,2.0,4.0,3.0,3.0,75.0,2.0,6.0,4.0
2020-04-13,3.0,4.0,9.0,1.0,13.0,2.0,13.0,5.0,4.0,4.0,3.0,3.0,76.0,2.0,5.0,3.0
2020-04-14,4.0,4.0,8.0,1.0,14.0,3.0,11.0,5.0,3.0,4.0,4.0,3.0,67.0,2.0,5.0,3.0
2020-04-15,4.0,2.0,9.0,1.0,12.0,3.0,9.0,5.0,3.0,3.0,5.0,3.0,60.0,1.0,5.0,3.0
2020-04-16,4.0,4.0,9.0,1.0,13.0,3.0,10.0,5.0,3.0,3.0,5.0,3.0,60.0,1.0,3.0,2.0
2020-04-17,3.0,4.0,9.0,1.0,15.0,3.0,10.0,5.0,3.0,3.0,4.0,2.0,59.0,1.0,3.0,2.0
2020-04-18,2.0,5.0,10.0,1.0,16.0,4.0,11.0,5.0,3.0,3.0,3.0,1.0,58.0,1.0,3.0,2.0
2020-04-19,2.0,5.0,10.0,1.0,16.0,4.0,11.0,5.0,3.0,3.0,3.0,1.0,58.0,1.0,3.0,2.0
2020-04-20,1.0,6.0,10.0,1.0,17.0,4.0,13.0,7.0,3.0,3.0,4.0,1.0,55.0,3.0,2.0,2.0
2020-04-21,4.0,4.0,9.0,1.0,17.0,4.0,10.0,7.0,5.0,7.0,6.0,1.0,53.0,1.0,2.0,2.0
2020-04-22,4.0,6.0,7.0,1.0,15.0,3.0,11.0,8.0,4.0,11.0,7.0,1.0,45.0,1.0,2.0,2.0
