Date;Hast;DayOfWeek
2020-02-04;26.393124136117148;Tuesday
2020-02-05;26.214691949871433;Wednesday
2020-02-06;26.171429799027255;Thursday
2020-02-07;26.349251350463266;Friday
2020-02-08;29.43925507255413;Saturday
2020-02-09;28.927482756346016;Sunday
2020-02-10;26.61339426099836;Monday
2020-02-11;26.54439229589232;Tuesday
2020-02-12;26.65695287967366;Wednesday
2020-02-13;26.728659978807013;Thursday
2020-02-14;27.13647291917891;Friday
2020-02-15;29.023572364258168;Saturday
2020-02-16;28.930226200745505;Sunday
2020-02-17;26.470977806823498;Monday
2020-02-18;26.496233220219583;Tuesday
2020-02-19;26.75161096938271;Wednesday
2020-02-20;26.321118435157064;Thursday
2020-02-21;26.42346935918931;Friday
2020-02-22;28.9416677268869;Saturday
2020-02-23;28.888401057784122;Sunday
2020-02-24;26.38532503183478;Monday
2020-02-25;26.25169698554647;Tuesday
2020-02-26;26.30713877390809;Wednesday
2020-02-27;26.56142457655828;Thursday
2020-02-28;26.577804211585583;Friday
2020-02-29;28.926780982281056;Saturday
2020-03-01;28.868628050768216;Sunday
2020-03-02;26.671578143784103;Monday
2020-03-03;26.457522286548507;Tuesday
2020-03-04;26.49136279890012;Wednesday
2020-03-05;26.58887380896263;Thursday
2020-03-06;26.783382484284086;Friday
2020-03-07;29.309355080044547;Saturday
2020-03-08;29.07360858319646;Sunday
2020-03-09;26.66823736300654;Monday
2020-03-10;26.500488752243697;Tuesday
2020-03-11;26.70585380276769;Wednesday
2020-03-12;27.230553816117162;Thursday
2020-03-13;27.85845171325187;Friday
2020-03-14;29.80066520059867;Saturday
2020-03-15;29.608864573892873;Sunday
2020-03-16;27.98265781011019;Monday
2020-03-17;27.93353327991398;Tuesday
2020-03-18;27.80618823185436;Wednesday
2020-03-19;27.925684038120707;Thursday
2020-03-20;28.03886872864505;Friday
2020-03-21;29.804509900177187;Saturday
2020-03-22;29.655530335776785;Sunday
2020-03-23;28.037424830288426;Monday
2020-03-24;28.237895983632303;Tuesday
2020-03-25;27.88866618739324;Wednesday
2020-03-26;27.941410446488344;Thursday
2020-03-27;27.939364575025976;Friday
2020-03-28;29.638546896360825;Saturday
2020-03-29;29.56410761851728;Sunday
2020-03-30;29.653391288921377;Monday
2020-03-31;29.161176338229158;Tuesday
2020-04-01;29.426676144898707;Wednesday
2020-04-02;29.16903373623581;Thursday
2020-04-03;29.37075307316049;Friday
2020-04-04;29.90544048958873;Saturday
2020-04-05;29.581520964290977;Sunday
2020-04-06;29.1727035857961;Monday
2020-04-07;29.13505785466711;Tuesday
2020-04-08;29.181209578439546;Wednesday
2020-04-09;29.43414107242986;Thursday
2020-04-10;29.910395787792012;Friday
2020-04-11;29.514256894229295;Saturday
2020-04-12;29.617387623523772;Sunday
2020-04-13;29.636871345481925;Monday
2020-04-14;27.713208395139308;Tuesday
2020-04-15;27.599950108216667;Wednesday
2020-04-16;27.411418939581512;Thursday
2020-04-17;27.50325114522713;Friday
2020-04-18;29.474352728961534;Saturday
2020-04-19;29.43807072387047;Sunday
2020-04-20;27.394695456063854;Monday
2020-04-21;27.621457450824582;Tuesday
